Marca de Tiempo, Uso de Memoria(%)
11:07:27,60.7
11:07:28,60.6
11:07:29,60.6
11:07:30,60.1
11:07:31,59.7
11:07:32,59.6
11:07:33,59.4
11:07:34,59.4
11:07:35,59.4
11:07:36,59.4
11:07:37,59.4
11:07:38,59.4
11:07:39,59.4
11:07:40,59.3
11:07:41,59.3
11:07:42,59.3
11:07:43,59.4
11:07:44,59.6
11:07:45,59.5
11:07:46,59.6
11:07:47,59.7
11:07:48,59.7
11:07:49,59.7
11:07:50,59.7
11:07:51,59.6
11:07:52,59.5
11:07:53,59.8
11:07:54,59.6
11:07:55,59.8
11:07:56,59.8
11:07:57,59.9
11:07:58,59.8
11:07:59,59.8
11:08:00,59.9
11:08:01,59.8
11:08:02,59.9
11:08:03,59.9
11:08:04,59.7
11:08:05,60.1
11:08:06,60.5
11:08:07,60.5
11:08:08,60.5
11:08:09,61.1
11:08:10,62.5
11:08:11,62.5
11:08:12,63.1
11:08:13,63.3
11:08:14,63.3
11:08:15,63.2
11:08:16,63.2
11:08:17,63.1
11:08:18,63.0
11:08:19,62.8
11:08:20,62.8
11:08:21,62.6
11:08:22,62.7
11:08:23,62.7
11:08:24,62.6
11:08:25,62.6
11:08:26,62.6
11:08:27,62.6
11:08:28,62.6
11:08:29,62.6
11:08:30,62.6
11:08:31,62.4
11:08:32,62.3
11:08:33,62.3
11:08:34,62.3
11:08:35,62.2
11:08:36,62.1
11:08:37,62.1
11:08:38,62.1
11:08:39,62.1
11:08:40,62.2
11:08:41,62.3
11:08:42,62.3
11:08:43,62.1
11:08:44,62.1
11:08:45,62.1
11:08:46,62.4
11:08:47,62.3
11:08:48,62.1
11:08:49,62.0
11:08:50,62.0
11:08:51,62.0
11:08:52,62.0
11:08:53,62.0
11:08:54,61.5
11:08:55,61.5
11:08:57,61.5
11:08:58,61.5
11:08:59,61.5
11:09:00,61.3
11:09:01,61.4
11:09:02,61.4
11:09:03,61.4
11:09:04,61.4
11:09:05,61.4
11:09:06,61.3
11:09:07,61.3
11:09:08,61.3
11:09:09,61.3
11:09:10,61.3
11:09:11,61.3
11:09:12,61.3
11:09:13,61.3
11:09:14,61.3
11:09:15,61.3
11:09:16,61.3
11:09:17,61.3
11:09:18,61.3
11:09:19,61.4
11:09:20,61.3
11:09:21,61.5
11:09:22,61.4
11:09:23,61.4
11:09:24,61.4
11:09:25,61.4
11:09:26,61.4
11:09:27,61.4
11:09:28,61.3
11:09:29,61.4
11:09:30,61.4
11:09:31,61.4
11:09:32,61.3
11:09:33,61.4
11:09:34,61.4
11:09:35,61.4
11:09:36,61.4
11:09:37,61.4
11:09:38,61.4
11:09:39,61.3
11:09:40,61.3
11:09:41,61.3
